Date,Date,TimeDay,TestID,TestID2,TL_mm,mass_mg,Order_fish_flip,tank,temp_tolerance,Test,Tide,Tide2,Phys.cond,treatment,temp_treatment,Field_Lab,Temp_test_start,max.Env.Temp,min.Env.Temp,mean.Env.Temp,delta.T,Stat_Var
11/13/19,13-Nov,10:15:00,lab4,LAB-12,26,61,14,8,34.98,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/13/19,13-Nov,10:15:00,lab4,LAB-12,28,156,15,8,35.22,CTmax,NA,NA,NOTFED,COLD,12,LAB,12.9,13,11,12,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,37,217,1,11,33.61,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,35,201,2,11,34.22,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,40,311,3,18,34.52,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,33,172,4,11,34.58,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,,,5,6,34.64,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,33,135,6,6,34.75,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,39,277,7,18,34.84,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,33,159,8,18,35.3,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,30,145,9,18,35.41,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,34,160,10,11,35.52,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,40,270,11,11,35.62,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,43,395,12,18,35.72,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,42,424,13,6,35.87,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,39,310,14,6,35.87,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,7:45:00,lab5,LAB-17,32,155,15,6,36.01,CTmax,NA,NA,NOTFED,LOW,17,LAB,17.7,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,31,157,1,18,3.23,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,39,325,2,11,3.13,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,38,276,3,11,3.07,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,42,340,4,6,3.11,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,38,276,5,11,2.91,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,41,387,6,18,2.84,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,36,270,7,6,2.82,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,37,323,8,18,2.91,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,40,311,9,18,2.81,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,38,282,10,18,2.84,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,39,387,11,6,2.79,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,35,227,12,11,2.72,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,39,274,13,6,2.75,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,38,305,14,11,2.75,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/14/19,14-Nov,17:00:00,lab6,LAB-17,37,285,15,6,2.81,CTmin,NA,NA,NOTFED,LOW,17,LAB,17.2,18,16,17,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,36,172,1,15,10.98,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,36,201,2,15,10.15,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,37,235,3,12,9.97,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,33,215,4,15,8.55,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-22,40,310,5,5,6.73,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,38,262,6,7,5.4,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-22,43,450,7,17,5.35,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-22,29,126,8,5,5.33,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,42,342,9,15,5.11,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,36,248,10,7,5.07,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-22,34,221,11,17,5.07,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,34,194,12,12,4.97,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-22,43,406,13,17,4.91,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,32,179,14,7,5.05,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,34,153,15,7,5.03,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,28,106,16,12,4.8,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,43,388,17,12,4.8,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-22,42,370,18,17,4.66,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,40,315,19,12,4.51,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,40,335,20,15,4.39,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-22,32,159,21,9,4.39,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-22,39,322,22,5,4.15,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-22,42,364,23,5,4.15,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-22,39,298,24,9,4.15,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-22,37,266,25,9,4.13,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-V2,35,248,26,7,4.07,CTmin,NA,NA,NOTFED,V2,V2,LAB,21.21,33,11,22,22,variable
11/25/19,25-Nov,20:00:00,lab7,LAB-22,36,222,27,9,3.62,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-22,26,116,29,9,3.59,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,20:00:00,lab7,LAB-22,36,222,28,17,3.6,CTmin,NA,NA,NOTFED,MED,22,LAB,21.21,23,21,22,2,static
11/25/19,25-Nov,17:00:00,lab8,LAB-12,27,95,1,13,2.49,CTmin,NA,NA,NOTFED,COLD,12,LAB,21.21,13,11,12,2,static
11/25/19,25-Nov,17:00:00,lab8,LAB-12,30,202,2,8,2.18,CTmin,NA,NA,NOTFED,COLD,12,LAB,12.88,13,11,12,2,static
11/25/19,25-Nov,17:00:00,lab8,LAB-12,36,253,3,3,2.09,CTmin,NA,NA,NOTFED,COLD,12,LAB,12.88,13,11,12,2,static
11/25/19,25-Nov,17:00:00,lab8,LAB-12,34,360,4,8,1.84,CTmin,NA,NA,NOTFED,COLD,12,LAB,12.88,13,11,12,2,static
11/25/19,25-Nov,17:00:00,lab8,LAB-12,37,358,5,3,1.74,CTmin,NA,NA,NOTFED,COLD,12,LAB,12.88,13,11,12,2,static
11/25/19,25-Nov,17:00:00,lab8,LAB-12,32,125,6,3,2.02,CTmin,NA,NA,NOTFED,COLD,12,LAB,12.88,13,11,12,2,static
11/25/19,25-Nov,17:00:00,lab8,LAB-12,33,192,7,8,1.11,CTmin,NA,NA,NOTFED,COLD,12,LAB,12.88,13,11,12,2,static
11/25/19,25-Nov,17:00:00,lab8,LAB-12,40,341,8,8,1.06,CTmin,NA,NA,NOTFED,COLD,12,LAB,12.88,13,11,12,2,static
11/25/19,25-Nov,17:00:00,lab8,LAB-12,38,295,9,3,0.99,CTmin,NA,NA,NOTFED,COLD,12,LAB,12.88,13,11,12,2,static
11/25/19,25-Nov,17:00:00,lab8,LAB-12,39,333,10,13,1.46,CTmin,NA,NA,NOTFED,COLD,12,LAB,12.88,13,11,12,2,static
11/25/19,25-Nov,17:00:00,lab8,LAB-12,37,309,11,13,1.44,CTmin,NA,NA,NOTFED,COLD,12,LAB,12.88,13,11,12,2,static
